epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,10113.4,1.37101,1.03851,0.99596,0.53997,0.4485,0.44356,0.26644,1.31597,0.99048,0.99705,0.002146,0.002146,0.002146
121,10197,1.36371,1.02946,0.99639,0.54356,0.44723,0.44368,0.26643,1.31544,0.98937,0.99707,0.00208,0.00208,0.00208
122,10281.8,1.37045,1.03479,0.99643,0.54986,0.44619,0.44509,0.26738,1.31529,0.988,0.9969,0.002014,0.002014,0.002014
123,10366.3,1.37036,1.02714,0.99739,0.55472,0.44362,0.44544,0.26746,1.31485,0.98702,0.99679,0.001948,0.001948,0.001948
124,10450.5,1.35641,1.02474,0.99331,0.55215,0.44621,0.44563,0.26759,1.31506,0.98661,0.99672,0.001882,0.001882,0.001882
125,10534.5,1.36339,1.02395,0.99231,0.55411,0.44356,0.44641,0.26826,1.31475,0.9856,0.99651,0.001816,0.001816,0.001816
126,10618.3,1.36108,1.02121,0.99685,0.54951,0.44653,0.44611,0.26845,1.31428,0.98519,0.99622,0.00175,0.00175,0.00175
127,10706.7,1.35628,1.02128,0.99227,0.55438,0.44536,0.44666,0.26846,1.31469,0.98484,0.99613,0.001684,0.001684,0.001684
128,10794.2,1.35558,1.01362,0.99067,0.56032,0.44446,0.44741,0.26919,1.3141,0.98366,0.99591,0.001618,0.001618,0.001618
129,10878.3,1.35118,1.01031,0.9918,0.56036,0.44522,0.44835,0.26941,1.31425,0.98264,0.99573,0.001552,0.001552,0.001552
130,10962.9,1.35284,1.01303,0.99142,0.56236,0.44572,0.44919,0.27033,1.3139,0.98239,0.9955,0.001486,0.001486,0.001486
131,11048,1.35781,1.01268,0.98892,0.56009,0.44743,0.44972,0.27071,1.31346,0.98157,0.9955,0.00142,0.00142,0.00142
132,11132.5,1.35398,1.00638,0.98859,0.55772,0.45033,0.45003,0.27086,1.31318,0.98128,0.99532,0.001354,0.001354,0.001354
133,11216.5,1.35048,1.0091,0.98932,0.56372,0.44713,0.45024,0.27095,1.31268,0.9807,0.99505,0.001288,0.001288,0.001288
134,11301.3,1.34717,1.00626,0.98622,0.56326,0.44745,0.45047,0.27119,1.31277,0.98053,0.99502,0.001222,0.001222,0.001222
135,11384.6,1.34518,1.00172,0.98882,0.56249,0.44855,0.45113,0.27148,1.31239,0.98019,0.9948,0.001156,0.001156,0.001156
136,11469.5,1.34596,0.99795,0.9874,0.56385,0.44814,0.4511,0.2716,1.31193,0.97989,0.99467,0.00109,0.00109,0.00109
