epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,11482.2,1.33949,0.76298,0.98728,0.80412,0.64205,0.72958,0.43507,1.30905,0.74436,0.99682,0.000892,0.000892,0.000892
140,11564.4,1.33559,0.7611,0.98339,0.80448,0.64229,0.72988,0.43523,1.30889,0.74421,0.99669,0.000826,0.000826,0.000826
141,11642.9,1.32664,0.7634,0.99655,0.80509,0.64209,0.72989,0.43531,1.30909,0.74377,0.99659,0.00076,0.00076,0.00076
142,11719,1.31658,0.75011,0.99196,0.80617,0.64033,0.73006,0.43545,1.30917,0.74303,0.99655,0.000694,0.000694,0.000694
143,11794.7,1.3126,0.74606,0.99133,0.80585,0.64095,0.73011,0.43559,1.3092,0.74271,0.99646,0.000628,0.000628,0.000628
144,11870.8,1.31373,0.74457,0.99175,0.80652,0.641,0.73024,0.43591,1.30893,0.74231,0.99638,0.000562,0.000562,0.000562
145,11946.9,1.30713,0.74178,0.99143,0.80558,0.64187,0.73052,0.43604,1.30884,0.74209,0.99638,0.000496,0.000496,0.000496
146,12023,1.30422,0.73767,0.98995,0.80554,0.64188,0.73046,0.43587,1.3091,0.74157,0.99633,0.00043,0.00043,0.00043
147,12098.9,1.30093,0.73482,0.98722,0.80369,0.64327,0.73062,0.43607,1.3091,0.74105,0.99632,0.000364,0.000364,0.000364
148,12174.9,1.29706,0.72967,0.98589,0.80203,0.64433,0.73289,0.43648,1.30858,0.74053,0.99612,0.000298,0.000298,0.000298
149,12251.3,1.29488,0.72792,0.98571,0.80216,0.64405,0.73298,0.43655,1.30849,0.74031,0.99604,0.000232,0.000232,0.000232
150,12327.6,1.29269,0.72524,0.9852,0.80207,0.64397,0.73085,0.43638,1.30837,0.7399,0.99583,0.000166,0.000166,0.000166
