epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,90.6805,1.22189,0.62026,0.979,0.97338,0.84783,0.90513,0.52748,1.47266,0.68872,1.07611,0.0003896,0.0003896,0.0003896
124,91.3605,1.23134,0.65447,0.94378,0.97912,0.84949,0.90651,0.52878,1.46758,0.6859,1.07392,0.0003764,0.0003764,0.0003764
125,91.9761,1.32824,0.70752,1.00377,0.97912,0.84949,0.90651,0.52878,1.46758,0.6859,1.07392,0.0003632,0.0003632,0.0003632
126,92.5836,1.29234,0.69868,1.00883,0.98019,0.84964,0.9053,0.53016,1.46305,0.67796,1.07005,0.00035,0.00035,0.00035
127,93.2287,1.2483,0.62486,0.95946,0.98019,0.84964,0.9053,0.53016,1.46305,0.67796,1.07005,0.0003368,0.0003368,0.0003368
128,93.8531,1.22802,0.61568,1.00127,0.97908,0.84796,0.90635,0.53377,1.45443,0.67032,1.06779,0.0003236,0.0003236,0.0003236
129,94.4536,1.31769,0.68015,1.01491,0.97908,0.84796,0.90635,0.53377,1.45443,0.67032,1.06779,0.0003104,0.0003104,0.0003104
130,95.0628,1.1235,0.6419,0.99702,0.97715,0.84783,0.90607,0.53856,1.44438,0.66729,1.06483,0.0002972,0.0002972,0.0002972
131,95.6636,1.23741,0.62969,0.94509,0.97715,0.84783,0.90607,0.53856,1.44438,0.66729,1.06483,0.000284,0.000284,0.000284
132,96.3599,1.22283,0.6122,0.97118,0.97916,0.85113,0.90725,0.54104,1.43217,0.65966,1.06067,0.0002708,0.0002708,0.0002708
133,96.9364,1.10282,0.62944,1.06421,0.97916,0.85113,0.90725,0.54104,1.43217,0.65966,1.06067,0.0002576,0.0002576,0.0002576
134,97.7412,1.23769,0.59873,0.95801,0.97919,0.85246,0.90764,0.54394,1.41446,0.65419,1.0535,0.0002444,0.0002444,0.0002444
135,98.334,1.24332,0.58788,0.97896,0.97919,0.85246,0.90764,0.54394,1.41446,0.65419,1.0535,0.0002312,0.0002312,0.0002312
136,98.9305,1.31103,0.63554,0.98874,0.97918,0.8521,0.90908,0.54966,1.39155,0.65005,1.04446,0.000218,0.000218,0.000218
137,99.5467,1.29458,0.65115,0.9534,0.97918,0.8521,0.90908,0.54966,1.39155,0.65005,1.04446,0.0002048,0.0002048,0.0002048
138,100.258,1.23742,0.67671,1.01006,0.98327,0.85203,0.90828,0.55375,1.37106,0.64361,1.03749,0.0001916,0.0001916,0.0001916
